;Asunción;Augusto Weberbauer;Cachachi;Celendín;Cospán;Granja Porcón;Hacienda Llagadén;Jesús Túnel;Llapa;Magdalena;Matara;Namora;Quilcate;San Juan;Sayapullo
1/12/1965;107;67.9;116.8;116.9;65.3;;62.3;;110.2;38.8;122.9;85.4;135.5;12.7;
1/01/1966;125;62.7;135.8;163.5;94.6;;88.9;;123.3;59.4;119.5;39;123;13.1;
1/02/1966;150;45.9;181.3;62.7;21.4;;103;;108.8;38.2;39.4;35.2;48.5;11;
1/03/1966;101;54.5;208.5;33.3;23.5;;39.7;;87.6;36.4;72.5;24.7;107;9.8;
1/04/1966;65;47.9;224.4;60.6;20.3;;40.4;;105.5;37.4;34.4;29.2;143;80;
1/05/1966;33;40;26.7;55.1;106.7;;8.1;;38.5;8;20.9;42.7;89.7;50;
1/06/1966;9;0;4.2;21.1;0;;0;;2.4;0;3.1;3.8;18.1;0;
1/07/1966;5;0;17.7;0;0;4;0;;6;0;16;14.2;17.2;0;
1/08/1966;6;0.7;13.8;6.4;0;8.2;0;;11;0;0.5;0.5;17.8;8;
1/09/1966;28;13.1;12.3;5.8;29.1;33;9.2;;23.7;7.3;11.5;41.7;29.5;30.4;
1/10/1966;98;76.8;172.1;138.4;94.9;189;;;172.6;36;141.2;101.8;228.9;141.8;
1/11/1966;20;62.7;100.7;100.6;5.5;83;24.4;;36.1;13;39.7;43.3;98.5;32.2;
1/12/1966;4;18.7;2.2;43.1;19.8;26;11.5;;37.1;4.5;50.3;14.5;40;25.2;
1/01/1967;231;120.9;111.7;37.3;75.7;269;182.9;;294.1;112.3;140.6;137.1;146.3;241.7;
1/02/1967;328;139.5;769.1;101.6;137;290;223.1;;210.2;202.1;135.7;149;173.9;298.2;
1/03/1967;182;109.1;1474.3;96.5;167.7;216;84.3;;192.9;75.6;87.5;111.5;152;191.1;
1/04/1967;74;32.3;12.2;107.3;21.5;85;29.5;;44;7.9;54.8;39.1;27.7;38.9;
1/05/1967;35;44.1;31.3;41.4;43.8;62;19.6;;62.4;13.9;18.3;30;40.1;29.7;
1/06/1967;0;10.3;0;12.5;27.1;7;1;;9.5;0;0;4.7;27.5;5.9;
